PLAYER_NAME,TEAM_ABBREVIATION,AGE,HEIGHT,WEIGHT,EXP,FGM,STL,PFD,AST
D.J. Carton,TOR,24,,,,1,2,1,3
DaQuan Jeffries,CHA,27,"6'5""",222,5,111,25,26,52
Daeqwon Plowden,ATL,26,"6'6""",216,R,8,0,1,0
Daishen Nix,MIN,23,,,,0,0,1,3
Dalano Banton,POR,25,"6'8""",203,3,189,42,87,147
Dalen Terry,CHI,22,"6'7""",195,2,117,43,55,96
Dalton Knecht,LAL,23,"6'6""",215,R,246,24,54,66
Damian Lillard,MIL,34,"6'2""",195,12,444,70,299,410
Damion Baugh,CHA,24,"6'4""",194,R,37,14,17,47
Damion Lee,PHX,32,"6'6""",210,6,25,5,12,10
Daniel Gafford,DAL,26,"6'10""",265,5,271,22,148,78
Daniel Theis,NOP,33,,,,61,18,45,60
Daniss Jenkins,DET,23,"6'3""",165,R,2,0,0,0
Danté Exum,DAL,29,"6'5""",214,7,60,12,29,50
Dario Šarić,DEN,31,"6'10""",225,7,21,7,15,23
Dariq Whitehead,BKN,20,"6'6""",220,1,36,6,7,11
Darius Garland,CLE,25,"6'1""",192,5,544,89,222,493
David Duke Jr.,SAS,25,"6'4""",204,3,3,0,2,3
David Roddy,HOU,24,"6'4""",255,2,52,14,18,33
Davion Mitchell,MIA,26,"6'0""",202,3,217,70,129,352
Day'Ron Sharpe,BKN,23,"6'9""",265,3,165,41,73,91
De'Aaron Fox,SAS,27,"6'3""",185,7,539,91,261,392
